text,pos,definition
breakthrough,noun,Any major progress; such as a great innovation or discovery that overcomes a significant obstacle.
breakthrough,noun,The penetration of the opposition defence
breakthrough,noun,The penetration of a separating wall or the remaining distance to an adjacent hollow (a crosscut in mining) or between two parts of a tunnel build from both ends; knockthrough.
breakthrough,adjective,Characterized by major progress or overcoming some obstacle.
broadband,noun,A wide band of electromagnetic frequencies
broadband,noun,An internet connection provisioned over an existing service using alternate signal frequencies such as ADSL or cable modem.
broadband,adjective,"Of, pertaining to, or carrying a wide band of electromagnetic frequencies"
broadcaster,noun,An organisation that engages in the activity of broadcasting.
broadcaster,noun,A person whose job it is to broadcast.
buddy,noun,A friend or casual acquaintance.
buddy,noun,A partner for a particular activity.
buddy,noun,An informal and friendly address to a stranger; a friendly (or occasionally antagonistic) placeholder name for a person one does not know.
buddy,verb,"To assign a buddy, or partner, to."
buddy,adjective,Resembling a bud.
businessman,noun,"A man in business, one who works at a commercial institution."
capitalism,noun,A socio-economic system based on private ownership of resources or capital.
capitalism,noun,An economic system based on private ownership of the means of production and their operation for profit.
capitalism,noun,"(economic liberalism) A socio-economic system based on private property rights, including the private ownership of resources or capital, with economic decisions made largely through the operation of a market unregulated by the state."
capitalism,noun,"(economic liberalism) An economic system based on the abstraction of resources into the form of privately owned capital, with economic decisions made largely through the operation of a market unregulated by the state."
cd,noun,"A small disc on which sound or information is recorded. CDs can be played or read on various types of machines, including CD players and computers. (the abbreviation for ‘compact disc’)."
cellphone,noun,"A portable, wireless telephone, which changes antenna connections seamlessly during travel from one radio reception cell to another without losing the party-to-party call connection."
cellphone,verb,To make a call on a cellphone.
cinema,noun,"A movie theatre, a movie house"
cinema,noun,Films collectively.
cinema,noun,The film and movie industry.
cinema,noun,The art of making films and movies; cinematography
classroom,noun,"A room, often in a school, where classes take place"
collaborate,verb,To work together with others to achieve a common goal.
collaborate,verb,"To voluntarily cooperate treasonably, as with an enemy occupation force in one's country."
coloured,verb,To give something color.
coloured,verb,To apply colors to the areas within the boundaries of a line drawing using colored markers or crayons.
coloured,verb,(of a person or their face) To become red through increased blood flow.
coloured,verb,To affect without completely changing.
coloured,verb,To attribute a quality to; to portray (as).
coloured,verb,To assign colors to the vertices of a graph (or the regions of a map) so that no two vertices connected by an edge (regions sharing a border) have the same color.
coloured,noun,A colored person.
coloured,noun,(laundry) A colored article of clothing.
coloured,adjective,Having a color.
coloured,adjective,Having a particular color or kind of color.
coloured,adjective,Having prominent colors; colorful.
coloured,adjective,Influenced pervasively but subtly.
coloured,adjective,"Of skin color other than white; in particular, black."
coloured,adjective,Of neither black nor white skin color.
coloured,adjective,Designated for use by colored people (in either the US or South African sense).
colourful,adjective,Possessing prominent and varied colors.
colourful,adjective,"Interesting, multifaceted, energetic, distinctive."
colourful,adjective,"Profane, obscene, offensive (usually in the phrase colourful language)."
columnist,noun,"A regular writer of a column, such as in a magazine or newspaper"
consultant,noun,A person or party that is consulted
consultant,noun,"A person whose occupation is to be consulted for their expertise, advice, or help in an area or specialty; a party whose business is to be similarly consulted"
contributor,noun,A benefactor; someone who donates to charity or some cause.
contributor,noun,"A person who backs, supports or champions a cause, activity or institution."
contributor,noun,A person (or thing) instrumental in the creation or growth of something.
contributor,noun,"A person who produces articles published in a newspaper, magazine, online publication, etc."
cooker,noun,"A device for heating food, a stove."
cooker,noun,(except in compounds) An appliance or utensil for cooking food.
cooker,noun,A cooking apple.
coordinator,noun,One who coordinates.
coordinator,noun,"An assistant coach responsible for a particular facet of the game, such as defense."
coordinator,noun,"(grammar) A member of a lexical class of words that joins words, phrases, and clauses at the same syntactic level."
councillor,noun,A member of a council.
councillor,noun,"In particular, a representative elected to a local authority, such as a city council: a city councillor"
counsellor,noun,"A professional who counsels people, especially on personal problems."
counsellor,noun,"A school counselor, often in a specialty such as careers, education, or health."
counsellor,noun,An attorney.
counsellor,noun,"A high ranking diplomat, usually just below an ambassador or minister."
counsellor,noun,"A children’s supervisor, usually at camp."
coverage,noun,An amount by which something or someone is covered.
coverage,noun,The amount of space or time given to an event in newspapers or on television.
coverage,noun,The average number of reads representing a given nucleotide in the reconstructed sequence.
coverage,noun,The area covered by a mobile phone (cellphone) or other radio network.
coverage,noun,"The signal strength, reception of a radio signal."
coverage,noun,Journalism: the attention given by the press or news media about some news; the total of stories published or broadcast about a topic.
coverage,noun,Defense.
creativity,noun,The ability to use imagination to produce a novel idea or product that is useful to society.
creator,noun,Something or someone which creates or makes something.
creator,noun,"(social media) Ellipsis of content creator, someone who regularly produces and publishes content on social media, especially of a monetizable nature."
creator,noun,(sometimes capitalized) The deity that created the world.
criticize,verb,To find fault (with something).
criticize,verb,"To evaluate (something), assessing its merits and faults."
database,noun,"(general) A collection of (usually) organized information in a regular structure, usually but not necessarily in a machine-readable format accessible by a computer."
database,noun,A set of tables in a database(1).
database,noun,"A software program for storing, retrieving and manipulating a database(1)."
database,noun,A combination of (1) and (2).
database,verb,To enter data into a database.
deadline,noun,A time limit in the form of a date on or before which something must be completed.
deadline,noun,A guideline marked on a plate for a printing press.
deadline,noun,A line that does not move.
deadline,noun,"A boundary around a prison, prisoners crossing which would be shot."
deadline,verb,"To render an item non-mission-capable; to ground an aircraft, etc."
desktop,noun,The top surface of a desk.
desktop,noun,A desktop computer.
desktop,noun,"The main graphical user interface of an operating system, usually displaying icons, windows and background wallpaper."
desktop,adjective,Designed for use on a desk or similar piece of furniture.
desktop,adjective,"Of an application, designed to be run on a personal computer."
documentation,noun,Something transposed from a thought to a document; the written account of an idea.
documentation,noun,Documentary evidence and sources.
documentation,noun,Documents that explain the operation of a particular machine or software program.
documentation,noun,"Comments that explain the usage of individual functions, libraries and blocks of code."
download,noun,A file transfer to the local computer.
download,noun,"A file that has been, or will be transferred in this way."
download,verb,"To transfer data from a remote computer (server) to a local computer, usually via a network."
download,verb,To upload; to copy a file from a local computer to a remote computer via a network.
download,verb,To transfer a file to or from removable media.
download,verb,To install software.
downtown,noun,"The main business part of a city or town, usually located at or near its center."
downtown,adjective,"Of, relating to, or situated in the central business district"
downtown,adverb,In or towards the central business district
downtown,adverb,"Outside the three-point line, or generally far from the basket."
dvd,undefined,"A disk on which large amounts of information, especially films, photographs and video, can be stored, for use on a DVD player or computer (the abbreviation for ‘digital versatile disc’ or ‘digital videodisc’)."
eachother,pronoun,(reciprocal pronoun) To one another; one to the other; signifies that a verb applies to two or more entities both as subjects and as direct objects:
ecological,adjective,"Relating to ecology, the interrelationships of organisms and their environment."
ecological,adjective,Not harmful to the environment.
electoral,adjective,Relating to or composed of electors.
electoral,adjective,"Of, or relating to elections."
electronic,adjective,: Of or pertaining to an electron or electrons.
electronic,adjective,"Operating on the physical behavior of electrons, especially in semiconductors."
electronic,adjective,Generated by an electronic device.
electronic,adjective,Of or pertaining to the Internet.
electronics,noun,The study and use of electrical devices that operate by controlling the flow of electrons or other electrically charged particles or by converting the flow of charged particles to or from other forms of energy.
electronics,noun,(in the plural) A device or devices which require the flow of electrons through conductors and semiconductors in order to perform their function; devices that operate on electrical power (battery or outlet)
electronics,noun,Electronic circuitry.
email,noun,"A system for transferring messages from one computer to another, usually through a network."
email,noun,A quantity of messages sent through an email system.
email,noun,A message sent through an email system.
email,noun,An email address.
email,verb,To send an email or emails to.
email,verb,(may take two objects) To send (something) through email.
email,verb,"To send, or compose and send, an email or emails."
email,noun,Enamel.
emotionally,adverb,In an emotional manner; displaying emotion.
emotionally,adverb,Regarding emotions.
endeavour,noun,A sincere attempt; a determined or assiduous effort towards a specific goal; assiduous or persistent activity.
endeavour,verb,To exert oneself.
endeavour,verb,To attempt through application of effort (to do something); to try strenuously.
endeavour,verb,To attempt (something).
endeavour,verb,To work with purpose.
enrol,verb,"To enter (a name, etc.) in a register, roll or list"
enrol,verb,To enlist (someone) or make (someone) a member of
enrol,verb,To enlist oneself (in something) or become a member (of something)
enrol,verb,To envelop; to enwrap.
environmental,adjective,Pertaining to the environment.
escalate,verb,To increase (something) in extent or intensity; to intensify or step up.
escalate,verb,"In technical support, to transfer a customer, a problem, etc. to the next higher level of authority"
essentially,adverb,In an essential manner; in essence
euro,noun,Person living or originating from Europe
euro,noun,Person who resides within the European Union
euro,noun,The currency unit of the European Monetary Union. Symbol: €
euro,noun,A coin with a face value of 1 euro.
euro,noun,"Macropus robustus, a wallaroo (macropod species)."
exam,noun,The act of examining.
exam,noun,"Particularly, an inspection by a medical professional to establish the extent and nature of any sickness or injury."
exam,noun,A formal test involving answering written or oral questions under a time constraint and usually without access to textbooks.
exam,noun,Interrogation.
exam,verb,To observe or inspect carefully or critically
exam,verb,To check the health or condition of something or someone
exam,verb,"To determine the aptitude, skills or qualifications of someone by subjecting them to an examination"
exam,verb,To interrogate
exclusively,adverb,(focus) to the exclusion of anything or anyone else; solely or entirely
expertise,noun,Great skill or knowledge in a particular field or hobby.
expertise,noun,"Advice, or opinion, of an expert."
favour,noun,A kind or helpful deed; an instance of voluntarily assisting (someone).
favour,noun,Goodwill; benevolent regard.
favour,noun,A small gift; a party favor.
favour,noun,Mildness or mitigation of punishment; lenity.
favour,noun,The object of regard; person or thing favoured.
favour,noun,Appearance; look; countenance; face.
favour,noun,Partiality; bias.
favour,noun,"A letter, a written communication."
favour,noun,Anything worn publicly as a pledge of a woman's favor.
favour,noun,(in the plural) Lovelocks.
favour,verb,To look upon fondly; to prefer.
favour,verb,"To encourage, conduce to"
favour,verb,To do a favor [noun sense 1] for; to show beneficence toward.
favour,verb,To treat with care.
favour,verb,"(including) To resemble, to look like (another person)."
favourable,adjective,"Pleasing, encouraging or approving."
favourable,adjective,Useful or helpful.
favourable,adjective,Convenient or at a suitable time; opportune.
favourable,adjective,Auspicious or lucky.
favourite,noun,A person or thing who enjoys special regard or favour.
favourite,noun,A person who is preferred or trusted above all others.
favourite,noun,A contestant or competitor thought most likely to win.
favourite,noun,A bookmark in a web browser.
favourite,noun,"(in the plural) A short curl dangling over the temples, fashionable in the reign of Charles II."
favourite,verb,To favour.
favourite,verb,To bookmark.
favourite,verb,To add to one's list of favourite items on a website that allows users to compile such lists.
favourite,adjective,Preferred or liked above all others (unless qualified).
favourite,adjective,Belonging to a category whose members are all preferred or liked over nonmembers.
feedback,noun,Critical assessment of a process or activity or of their results.
feedback,noun,(control theory) The part of an output signal that is looped back into the input to control or modify a system.
feedback,noun,The high-pitched howling noise heard when there is a loop between a microphone and a speaker.
feedback,verb,To generate the high-frequency sound by allowing a speaker to cause vibration of the sound generator of a musical instrument connected by an amplifier to the speaker.
feedback,verb,To provide informational feedback to.
feedback,verb,To convey by means of specialized communications channel.
feminist,noun,An advocate of feminism; a person who believes in bringing about the equality of the sexes (of women and men) in all aspects of public and private life
feminist,noun,A member of a feminist political movement
feminist,adjective,Relating to or in accordance with feminism.
firefighter,noun,A person who puts out fires.
flavour,noun,"The quality produced by the sensation of taste or, especially, of taste and smell in combined effect."
flavour,noun,A substance used to produce a taste. Flavoring.
flavour,noun,A variety (of taste) attributed to an object.
flavour,noun,The characteristic quality of something.
flavour,noun,A kind or type.
flavour,noun,"One of the six types of quarks (top, bottom, strange, charmed, up, and down) or three types of leptons (electron, muon, and tauon)."
flavour,noun,The quality produced by the sensation of smell; odour; fragrance.
flavour,verb,To add flavoring to something.
flu,noun,Influenza.
flu,noun,Stomach flu.
footage,noun,An amount of film or tape that has been used to record something.
footage,noun,A measurement in feet.
format,noun,The layout of a publication or document.
format,noun,(hence) The form of presentation of something.
format,noun,"The type of programming that a radio station broadcasts; such as a certain genre of music, news, sports, talk, etc."
format,noun,A file type.
format,verb,To create or edit the layout of a document.
format,verb,Change a document so it will fit onto a different type of page.
format,verb,"To prepare a mass storage medium for initial use, erasing any existing data in the process."
freeway,noun,"A road designed for safe, high-speed operation of motor vehicles through the elimination of at-grade intersections, usually divided and having at least two lanes in each direction; a dual carriageway with no at-grade crossings, a motorway."
freeway,noun,A toll-free highway.
fulfil,verb,"To satisfy, carry out, bring to completion (an obligation, a requirement, etc.)."
fulfil,verb,To emotionally or artistically satisfy; to develop one's gifts to the fullest.
fulfil,verb,"To obey, follow, comply with (a rule, requirement etc.)."
fulfil,verb,"To package, distribute, or ship goods."
fulfil,verb,To fill full; fill to the utmost capacity; fill up.
fundraising,noun,The process of collecting money by requesting donations from individuals and businesses.
garage,noun,"A building (or section of a building) used to store a car or cars, tools and other miscellaneous items."
garage,noun,(20th century) A place where cars are serviced and repaired.
garage,noun,A petrol filling station.
garage,noun,A shed for housing an airship or aeroplane or a launchable missile; a hangar.
garage,noun,A side way or space in a canal to enable vessels to pass each other; a siding.
garage,noun,"A type of guitar rock music, personified by amateur bands playing in the basement or garage; garage rock."
garage,noun,"A type of electronic dance music related to house music, with warped and time-stretched sounds; UK garage."
garage,verb,To store in a garage.
gene,noun,"A theoretical unit of heredity of living organisms; a gene may take several values and in principle predetermines a precise trait of an organism's form (phenotype), such as hair color."
gene,noun,"A segment of DNA or RNA from a cell's or an organism's genome, that may take several forms and thus parameterizes a phenomenon, in general the structure of a protein; locus."
genocide,noun,"The systematic killing of substantial numbers of people on the basis of their ethnicity, religion, political beliefs, social status, or other particularities."
genocide,noun,(by extension) The systematic suppression of ideas on the basis of cultural or ethnic origin; culturicide.
genocide,noun,The elimination of an entire class of monsters by the player.
genocide,verb,To commit genocide (against); to eliminate (a group of people) completely.
genuinely,adverb,"In a genuine manner; truthfully, truly."
girlfriend,noun,A female partner in an unmarried romantic relationship.
girlfriend,noun,A female friend.
global,noun,A globally scoped identifier.
global,adjective,Concerning all parts of the world.
global,adjective,"Pertaining to the whole of something; total, universal:"
global,adjective,"Spherical, ball-shaped."
global,adjective,Of or relating to a globe or sphere.
global,adverb,In the global manner; world-wide.
globalization,noun,The process of becoming a more interconnected world.
globalization,noun,"The process of the world economy becoming dominated by capitalist models, according to the World System Theory."
goodbye,noun,"An utterance of goodbye, the wishing of farewell to someone."
goodbye,verb,To say goodbye; to wish somebody farewell on parting.
goodbye,interjection,"Farewell; a formula used to another person or persons when the speaker, writer, or person addressed is departing."
goodnight,noun,Alternative spelling of good night
gosh,interjection,(minced oath) A mild expression of surprise or enthusiasm.
grandad,noun,Grandfather
grandad,noun,A familiar or disparaging term of address to an old man.
grandparent,verb,"To be, or act as, a grandfather to."
grandparent,verb,"To retain discontinued laws or rules for (a thing, person or organization previously affected by them)."
grandparent,noun,The parent of someone's parent
graph,noun,"(applied mathematics) A data chart (graphical representation of data) intended to illustrate the relationship between a set (or sets) of numbers (quantities, measurements or indicative numbers) and a reference set, whose elements are indexed to those of the former set(s) and may or may not be numbers."
graph,noun,"A set of points constituting a graphical representation of a real function; (formally) a set of tuples (x_1, x_2, \ldots, x_m, y)\in\R^{m+1}, where y=f(x_1, x_2, \ldots, x_m) for a given function f: \R^m\rightarrow\R."
graph,noun,"(formally) An ordered pair of sets (V,E), where the elements of V are called vertices or nodes and E is a set of pairs (called edges) of elements of V; (less formally) a set of vertices (or nodes) together with a set of edges that connect (some of) the vertices."
graph,noun,"A topological space which represents some graph (ordered pair of sets) and which is constructed by representing the vertices as points and the edges as copies of the real interval [0,1] (where, for any given edge, 0 and 1 are identified with the points representing the two vertices) and equipping the result with a particular topology called the graph topology."
graph,noun,"(of a morphism f) A morphism \Gamma_f from the domain of f to the product of the domain and codomain of f, such that the first projection applied to \Gamma_f equals the identity of the domain, and the second projection applied to \Gamma_f is equal to f."
graph,noun,"A graphical unit on the token-level, the abstracted fundamental shape of a character or letter as distinct from its ductus (realization in a particular typeface or handwriting on the instance-level) and as distinct by a grapheme on the type-level by not fundamentally distinguishing meaning."
graph,verb,To draw a graph.
graph,verb,To draw a graph of a function.
guideline,noun,A non-specific rule or principle that provides direction to action or behaviour.
guideline,noun,A plan or explanation to guide one in setting standards or determining a course of action.
guideline,noun,"A light line, used in lettering, to help align the text."
gym,noun,A sports facility specialized for lifting weights and exercise.
gym,noun,Physical education class
gym,verb,To go to the gym.
gym,noun,A large room or building for indoor sports.
gym,noun,A type of secondary school in some European countries which typically prepares students for university.
gym,noun,"A public place or building where Ancient Greek youths took exercise, with running and wrestling grounds, baths, and halls for conversation."
gym,noun,"A sport involving the performance of sequences of movements requiring physical strength, flexibility, and kinesthetic awareness."
gym,noun,Complex intellectual or artistic exercises or feats of physical agility.
handbag,noun,(mainly Commonwealth) A small bag used by women (or sometimes by men) for carrying various small personal items.
handbag,noun,"An subgenre of house music of the late 1980s, often with booming vocals."
handbag,verb,"Figuratively, to hit with a handbag; to attack verbally or subject to criticism (used of Margaret Thatcher)."
harbour,noun,Any place of shelter.
harbour,noun,"A sheltered expanse of water, adjacent to land, in which ships may anchor or dock, especially for loading and unloading."
harbour,noun,(glassworking) A mixing box for materials.
harbour,noun,"A house of the zodiac, or the mansion of a heavenly body."
harbour,noun,"Shelter, refuge."
harbour,verb,To provide a harbor or safe place for.
harbour,verb,To take refuge or shelter in a protected expanse of water.
harbour,verb,To drive (a hunted stag) to covert.
harbour,verb,To hold or persistently entertain in one's thoughts or mind.
healthcare,noun,"The prevention, treatment, and management of illness or the preservation of mental and physical well-being through the services offered by the medical, nursing, and allied health professions."
helicopter,noun,"An aircraft that is borne along by one or more sets of long rotating blades which allow it to hover, move in any direction including reverse, or land; and typically having a smaller set of blades on its tail that stabilize the aircraft."
helicopter,noun,A powered troweling machine with spinning blades used to spread concrete.
helicopter,noun,"The winged fruit of certain trees, such as ash, elm, and maple."
helicopter,noun,A dragonfly.
helicopter,noun,A whirling trick performed with devil sticks.
helicopter,verb,To transport by helicopter.
helicopter,verb,To travel by helicopter.
helicopter,verb,To rotate like a helicopter blade.
helicopter,verb,To overprotect one's children.
hi,noun,"The word ""hi"" used as a greeting."
hi,interjection,"A friendly, informal, casual greeting said when meeting someone."
hi,interjection,An exclamation to call attention.
hi,interjection,Expressing wonder or derision.
hi,adjective,Very elevated; extending or being far above a base; tall; lofty.
hi,adjective,Relatively elevated; rising or raised above the average or normal level from which elevation is measured.
hi,adjective,Having a specified elevation or height; tall.
hi,adjective,"Elevated in status, esteem, prestige; exalted in rank, station, or character."
hi,adjective,Of great importance and consequence: grave (if negative) or solemn (if positive).
hi,adjective,"Consummate; advanced (e.g. in development) to the utmost extent or culmination, or possessing a quality in its supreme degree, at its zenith."
hi,adjective,(in several set phrases) Remote in distance or time.
hi,adjective,"(in several set phrases) Very traditionalist and conservative, especially in favoring older ways of doing things; see e.g. high church, High Tory."
hi,adjective,"Elevated in mood; marked by great merriment, excitement, etc."
hi,adjective,(of a lifestyle) Luxurious; rich.
hi,adjective,"Lofty, often to the point of arrogant, haughty, boastful, proud."
hi,adjective,"(with ""on"" or ""about"") Keen, enthused."
hi,adjective,(of a body of water) With tall waves.
hi,adjective,"Large, great (in amount or quantity, value, force, energy, etc)."
hi,adjective,"(acoustics) Acute or shrill in pitch, due to being of greater frequency, i.e. produced by more rapid vibrations (wave oscillations)."
hi,adjective,"Made with some part of the tongue positioned high in the mouth, relatively close to the palate."
hi,adjective,"Greater in value than other cards, denominations, suits, etc."
hi,adjective,"(of meat, especially venison) Strong-scented; slightly tainted/spoiled; beginning to decompose."
hi,adjective,"Intoxicated; under the influence of a mood-altering drug, formerly usually alcohol, but now (from the mid-20th century) usually not alcohol but rather marijuana, cocaine, heroin, etc."
hi,adjective,"(of a sailing ship) Near, in its direction of travel, to the (direction of the) wind."
highlight,noun,"An area or a spot in a drawing, painting, or photograph that is strongly illuminated."
highlight,noun,An especially significant or interesting detail or event or period of time.
highlight,noun,A strand or spot of hair dyed a different color than the rest.
highlight,verb,To make prominent; emphasize.
highlight,verb,To be a highlight of.
highlight,verb,"To mark (important passages of text), e.g. with a fluorescent marker pen or in a wordprocessor, as a means of memory retention or for later reference."
highlight,verb,To dye (part of the hair) a different color than the rest.
highlight,verb,"To seek the attention of (a user) on IRC by mentioning their name in a message, causing that message to appear highlighted on their screen."
homeland,noun,The country that one regards as home.
homeland,noun,One's country of residence.
homeland,noun,One's country of birth.
homeland,noun,The traditional territory of an ethnic group.
homeland,noun,An area set aside for black South Africans under the policy of apartheid.
homework,noun,"Work that is done at home, especially school exercises assigned by a teacher."
homework,noun,"Preliminary or preparatory work, such as research."
homework,noun,Housework.
honour,noun,"Recognition of importance or value; respect; veneration (of someone, usually for being morally upright or successful)"
honour,noun,"The state of being morally upright, honest, noble, virtuous, and magnanimous; excellence of character; the perception of such a state; favourable reputation; dignity"
honour,noun,"A token of praise or respect; something that represents praiseworthiness or respect, such as a prize or award given by the state to a citizen"
honour,noun,A privilege
honour,noun,(in the plural) the privilege of going first
honour,noun,A cause of respect and fame; a glory; an excellency; an ornament.
honour,noun,"(feudal law) a seigniory or lordship held of the king, on which other lordships and manors depended"
honour,noun,The center point of the upper half of an armorial escutcheon (compare honour point)
honour,noun,"In bridge, an ace, king, queen, jack, or ten especially of the trump suit. In some other games, an ace, king, queen or jack."
honour,noun,(in the plural) (courses for) an honours degree: a university qualification of the highest rank
honour,verb,"To think of highly, to respect highly; to show respect for; to recognise the importance or spiritual value of"
honour,verb,"To conform to, abide by, act in accordance with (an agreement, treaty, promise, request, or the like)"
honour,verb,To confer (bestow) an honour or privilege upon (someone)
honour,verb,"To make payment in respect of (a cheque, banker's draft, etc.)"
hopefully,adverb,In a hopeful manner.
hopefully,adverb,It is hoped that; I hope; we hope.
humour,noun,"The quality of being amusing, comical, funny."
humour,noun,"A mood, especially a bad mood; a temporary state of mind or disposition brought upon by an event; an abrupt illogical inclination or whim."
humour,noun,"Any of the fluids in an animal body, especially the four ""cardinal humours"" of blood, yellow bile, black bile and phlegm that were believed to control the health and mood of the human body."
humour,noun,"Either of the two regions of liquid within the eyeball, the aqueous humour and vitreous humour."
humour,noun,"Moist vapour, moisture."
humour,verb,To pacify by indulging.
icecream,noun,"A dessert made from frozen sweetened cream or a similar substance, usually flavoured."
icecream,noun,"A portion of ice cream on a stick, in a cup or in a wafer cone."
implementation,noun,"The process of moving an idea from concept to reality. In business, engineering and other fields, implementation refers to the building process rather than the design process."
implementation,noun,"A result of implementing something; a finished product, system or device."
imprisonment,noun,"A confinement in a place, especially a prison or a jail, as punishment for a crime."
influential,noun,A person who has influence
influential,adjective,Having or exerting influence.
info,noun,Information.
